part_number,item_name,uom,price
T-80000-00,Acco Plastik; Isi 50,pcs,10000
T-80001-00,Amplop Coklat 1/2 Folio (19x25cm) @100,pcs,27000
T-80002-00,Amplop Coklat A3Pack,,75000
T-80003-00,Amplop Coklat A4 (21.5x27cm) @100,pcs,35000
T-80004-00,Amplop Coklat AIR MAIL Folio BertaliPack,,65000
T-80005-00,Amplop Coklat Double Folio (33x43cm) @100,pcs,75000
T-80006-00,,Pack,100
T-80007-00,Amplop Coklat Kabinet (11x24cm) @100,pcs,19000
T-80008-00,Amplop Coklat Super Kabinet (14x26cm) @100,pcs,23000
T-80009-00,Amplop Coklat Map (30x40cm) @100,pcs,55000
T-80010-00,Amplop Putih Kabinet BerjendelaBox,,35000
T-80011-00,Amplop Putih Kabinet No. 90 @100,pcs,20000
T-80012-00,Amplop Putih Kabinet No. 104 @100,pcs,16000
T-80013-00,Amplop Putih Kabinet No. 110 @100,pcs,19000
T-80018-00,Bag File A4 DaichiPieces,,8000
T-80019-00,Bag File Kancing Amo S- D168/Imco 108Pieces,,8000
T-80020-00,Pena Tempel Gel Hitam; Merek Joyko; ; pcPieces,,8000
T-80022-00,Pena Biru; Faster; High Grade C6; pcPieces,,2800
T-80023-00,Pena Biru; Standard; G'soft Gel; pcPieces,,2800
T-80024-00,Pena Hitam; Faster; High Grade C6; pcPieces,,2800
T-80025-00,Pena Merah; Faster C600; pcPieces,,2800
T-80026-00,Pena Merah; Snowman BP7; pcPieces,,3000
T-80027-00,Pena Hitam; Pilot BPT-P; pcPieces,,3000
T-80028-00,Pena Hitam; Snowman V1; pcPieces,,2500
T-80029-00,Pena Biru; Standard; Ae7; pcPieces,,2000
T-80030-00,Pena Hitam; Standard; Ae7 TECNO; pcPieces,,2000
T-80031-00,,Pieces,2025
T-80032-00,Pena Hitam; Standard; Techo Grip; pcPieces,,2000
T-80036-00,Baterai Segiempat 9 V; pcPack,,35000
T-80039-00,Baterai Size C; pcPieces,,7000
T-80040-00,Baterai Size D; pcPieces,,8000
T-80041-00,Baterai Size LR-1130Pieces,,30000
T-80042-00,Baterai Size LR-44; 2,pc,30000
T-80043-00,Baterai ABC Kotak 9VPieces,,35000
T-80044-00,Baterai ABC R1AC IEC/UM- 2/C Size 1.5VPieces,,7000
T-80045-00,Baterai ABC R20S IEC/UM- 1/D Size 1.5VPieces,,8000
T-80046-00,Baterai AA; Alkaline; Isi 6pc/pckPieces,,27500
T-80047-00,Baterai AAA; Alkaline; Isi 6pc/pckPieces,,27500
T-80048-00,Baterai MAXELL LR 1130Pieces,,30000
T-80049-00,Baterai MAXELL LR 44Pieces,,30000
T-80050-00,Battery Rechargeable AA; 2,pc,75000
T-80051-00,Baterai SONY DR 2450 N 3V SONYPieces,,50000
T-80052-00,Binder Clip No. 105 - 15 mm @12,pc,2600
T-80053-00,Binder Clip No. 107 - 19 mm @12,pc,4000
T-80054-00,Binder Clip No. 111 - 25 mm @12,pc,5500
T-80055-00,Binder Clip No. 155 - 32 mm @12,pc,6500
T-80056-00,Binder Clip No. 200 - 41 mm @12,pc,11000
T-80057-00,,Box,260
T-80058-00,Book Stand/Penyangga Buku LIONPieces,,35000
T-80059-00,Bookstand LION No. 7Set,,35000
T-80063-00,Buku Ekspedisi 100L Hard Cover; Paperline; pcPieces,,9000
T-80064-00,Buku Kwitansi Sedang ukuran 28x9cm; pcPieces,,4000
T-80065-00,Buku&#65533; Notes Spiral FolioPieces,,15000
T-80067-00,Buku Milimeter FolioPieces,,10000
T-80068-00,Buku TeleponPieces,,35000
T-80069-00,Buku Tulis 100L FolioPieces,,18000
T-80070-00,Buku Tulis 100L Folio Hard Cover; pcPieces,,18000
T-80071-00,Buku Tulis 100L KuartoPieces,,9000
T-80072-00,Buku Tulis 100L Kuarto Hard Cover; pcPieces,,9000
T-80073-00,Buku Tulis 200L FolioPieces,,35000
T-80074-00,Buku Tulis 200L Folio Hard Cover; pcPieces,,35000
T-80075-00,Buku Tulis 200L Kuarto Hard Cover; pcPieces,,20000
T-80076-00,Buku Tulis 40L KuartoPieces,,4000
T-80077-00,Buku Tulis 60L KuartoPieces,,6000
T-80084-00,Calculator; Casio; DM-1400F; pcPieces,,250000
T-80085-00,Calculator; Casio; DX-12B; pcPieces,,175000
T-80086-00,Calculator Casio FX 3650 PPieces,,600000
T-80087-00,Calculator Casio JF-120 TV (12 digits),Pieces,160000
T-80088-00,Calculator; Casio; MX-120B;,Pieces,2025
T-80089-00,Calculator Citizen SDC-868LPieces,,125000
T-80090-00,Calculator Karce D-29Pieces,,125000
T-80091-00,Calculator Karce D-50Pieces,,125000
T-80092-00,Cartridge Epson LQ 1170Pieces,,75000
T-80093-00,Ribbon Cartridge ; Epson ; LQ 2180 ; Black ; ORIGINAL ; pack size 60 meter per packPieces,,180000
T-80094-00,Cartridge Printech LQ 1171Pieces,,75000
T-80095-00,Cartridge Printech LQ 2181Pieces,,135000
T-80096-00,Cartridge Printech LX 300Pieces,,65000
T-80100-00,CD & Diskette CD RPack,,100000
T-80101-00,CD & Diskette CD RWPack,,90000
T-80102-00,CD & Diskette DVD RPieces,,12000
T-80103-00,CD & Diskette DVD RWPieces,,20000
T-80104-00,Cellotape / Lakban Bening 1 inch x 72 yds; PanfixRoll,,26000
T-80105-00,Cellotape / Lakban Bening&#65533; 1/2 inch X 10 YDSRoll,,7000
T-80106-00,Cellotape / Lakban Bening&#65533; 1/2 inch X 36 YDSRoll,,9000
T-80107-00,Cellotape / Lakban Bening 1/2 inch X 72 YDS; PanfixRoll,,12500
